Question,par,est,CI_2.5,CI_97.5
A11_B0,b4,-13.111592588728243,-15.277582413057594,-10.945602764398892
A12_B12,a,0.5366093774784045,0.5012009424480824,0.5720178125087266
A12_B12,b1,1.525322774989398,1.2294858949955387,1.8211596549832574
A12_B12,b2,-0.6549969943779196,-0.9356503707440403,-0.37434361801179883
A12_B12,b3,-5.4472146048086545,-5.8554884595686,-5.038940750048709
A13_B13,a,0.546341727163573,0.5127986595978797,0.5798847947292662
A13_B13,b1,-0.8516585382946988,-1.001884936942337,-0.7014321396470605
A13_B13,b2,3.6819922000324476,3.273553785249102,4.090430614815793
A13_B13,b3,-6.768045016898107,-7.288547363719776,-6.247542670076437
A14_B14,a,0.5596943261399099,0.5294766778625761,0.5899119744172436
A14_B14,b1,1.4730648254397043,1.2419758573932853,1.7041537934861233
A14_B14,b2,-3.7090202504620144,-3.9584070202543953,-3.4596334806696336
A14_B14,b3,8.495545040812663,7.623839223940876,9.36725085768445
A14_B14,b4,-3.957826323165207,-4.758498378971126,-3.157154267359288
A14_B14,b5,-4.349841105638735,-4.709424388031612,-3.990257823245858
A15_B15,a,0.23012836734037884,0.21237581745902315,0.24788091722173453
A15_B15,b1,9.675011388030143,8.61751707718323,10.732505698877056
A15_B15,b2,-7.608835155973598,-8.505627133473148,-6.712043178474047
A15_B15,b3,4.145085926097794,3.5184498205151007,4.771722031680487
A15_B15,b4,-11.729775771413337,-12.764092050946067,-10.695459491880607
A16_B16,a,1.6124512711190848,1.4918754616845338,1.7330270805536359
A16_B16,b1,-1.8780792792869239,-1.974429064532774,-1.7817294940410737
A17_B17,a,1.8952925500103932,1.7420231592598883,2.048561940760898
A17_B17,b1,-2.021789811028759,-2.1212924594658915,-1.9222871625916265
A18_B18,a,1.1033836775139894,1.0282986316536769,1.1784687233743019
A18_B18,b1,-1.206406490059692,-1.2844477452011727,-1.1283652349182114
A19_B19,a,1.6307234877660748,1.5377977714407076,1.723649204091442
A19_B19,b1,-0.2872474977241174,-0.326436394108683,-0.24805860133955177
A20_B20,a,1.879833485265141,1.7726293440984744,1.9870376264318077
A20_B20,b1,0.20622156058340463,0.1701426952523895,0.24230042591441975
A0_B7,a,1.0276465863834185,0.9431993747785767,1.1120937979882604
A0_B7,b1,0.5479310435307311,0.4798980453235946,0.6159640417378676
A0_B10,a,0.39766210485009296,0.37128802439659975,0.42403618530358617
A0_B10,b1,4.9758092816231,4.406152714080847,5.545465849165352
A0_B10,b2,-4.982492147002855,-5.508162091169476,-4.456822202836234
A0_B10,b3,2.2783264132877803,1.933445022182215,2.6232078043933456
A0_B10,b4,-0.26266847491939727,-0.6177448278794027,0.09240787804060807
A0_B10,b5,1.0437582120291533,0.6689682636948273,1.4185481603634793
A0_B10,b6,-0.37982114221343855,-0.7539837992940766,-0.005658485132800595
A0_B10,b7,1.9002417958047162,1.5080447746293602,2.2924388169800722
A0_B10,b8,-2.6886135771750963,-3.1100443154239765,-2.267182838926216
A0_B11,a,0.392689715561749,0.36453264660168977,0.4208467845218082
A0_B11,b1,2.302907930432328,1.7740474561752513,2.8317684046894045
A0_B11,b2,-5.366191467163805,-5.907735414587744,-4.824647519739866
A0_B11,b3,9.07955887469679,7.8558208250359804,10.3032969243576
A0_B11,b4,-3.555972993244265,-4.701870711144879,-2.4100752753436514
A0_B11,b5,-8.876556738668345,-9.709129930004606,-8.043983547332084
