"Course.Year","Course.Code","Course.Name","Assessment.Attempt.Number","Assessment.Mark","Assessment.Grade","grade","AnonID"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,76,"A3","1st","d23f9537"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,57,"C","2.2","d23f9537"
"2014/5","MATH08057","Introduction to Linear Algebra",1,0,"AN","AN","8f73dbb2"
"2014/5","MATH08057","Introduction to Linear Algebra",2,70,"A3","1st","8f73dbb2"
"2014/5","MATH08058","Calculus and its Applications",1,67,"B","2.1","8f73dbb2"
"2014/5","MATH08059","Proofs and Problem Solving",1,74,"A3","1st","8f73dbb2"
"2015/6","MATH08051","Statistics (Year 2)",1,53,"C","2.2","8f73dbb2"
"2015/6","MATH08063","Several Variable Calculus and Differential Equations",1,74,"A3","1st","8f73dbb2"
"2015/6","MATH08064","Fundamentals of Pure Mathematics",1,68,"B","2.1","8f73dbb2"
"2015/6","MATH08065","Computing and Numerics",1,46,"D","3rd","8f73dbb2"
"2015/6","MATH08066","Probability",1,68,"B","2.1","8f73dbb2"
"2015/6","MATH08068","Facets of Mathematics",1,68,"B","2.1","8f73dbb2"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,64,"B","2.1","60a4d25a"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,49,"D","3rd","60a4d25a"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,62,"B","2.1","4ed71e90"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,50,"C","2.2","4ed71e90"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,44,"D","3rd","5ecd3da1"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,29,"F","Fail","5ecd3da1"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",2,41,"FF","FF","5ecd3da1"
"2015/6","MATH08061","Mathematics for Science and Engineering 1b",1,43,"D","3rd","5ecd3da1"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,0,"AN","AN","fd510993"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,0,"WD","WD","fd510993"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,81,"A2","1st","657ecbca"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,69,"B","2.1","657ecbca"
"2014/5","MATH08057","Introduction to Linear Algebra",1,19,"G","Fail","f88b1003"
"2014/5","MATH08057","Introduction to Linear Algebra",2,48,"D","3rd","f88b1003"
"2014/5","MATH08058","Calculus and its Applications",1,26,"F","Fail","f88b1003"
"2014/5","MATH08058","Calculus and its Applications",2,38,"E","Fail","f88b1003"
"2015/6","MATH08067","Probability with Applications",1,39,"E","Fail","f88b1003"
"2015/6","MATH08067","Probability with Applications",2,48,"D","3rd","f88b1003"
"2016/7","MATH08058","Calculus and its Applications",1,51,"C","2.2","f88b1003"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,54,"C","2.2","455def55"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,55,"C","2.2","455def55"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,32,"E","Fail","a5d03c7b"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",2,49,"D","3rd","a5d03c7b"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,33,"E","Fail","a5d03c7b"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",2,42,"FF","FF","a5d03c7b"
"2015/6","MATH08061","Mathematics for Science and Engineering 1b",1,28,"F","Fail","a5d03c7b"
"2015/6","MATH08061","Mathematics for Science and Engineering 1b",2,44,"D","3rd","a5d03c7b"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,51,"C","2.2","cc1037a8"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,38,"E","Fail","cc1037a8"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",2,62,"B","2.1","cc1037a8"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,53,"C","2.2","b8307243"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,51,"C","2.2","b8307243"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,49,"D","3rd","89a2a2fc"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,45,"D","3rd","89a2a2fc"
"2014/5","PHYS08035","Mathematics for Physics 1",1,75,"A3","1st","1bac4671"
"2014/5","PHYS08036","Mathematics for Physics 2",1,63,"B","2.1","1bac4671"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,56,"C","2.2","9ac1ea15"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,54,"C","2.2","9ac1ea15"
"2014/5","MATH08057","Introduction to Linear Algebra",1,79,"A3","1st","5a6f1da4"
"2014/5","MATH08058","Calculus and its Applications",1,98,"A1","1st","5a6f1da4"
"2014/5","PHYS08035","Mathematics for Physics 1",1,91,"A1","1st","5a6f1da4"
"2015/6","MATH08063","Several Variable Calculus and Differential Equations",1,100,"A1","1st","5a6f1da4"
"2015/6","MATH08066","Probability",1,88,"A2","1st","5a6f1da4"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,54,"C","2.2","12cac998"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,42,"FF","FF","12cac998"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",2,56,"C","2.2","12cac998"
"2017/8","MATH08072","Mathematics for the Natural Sciences 1a",1,11,"G","Fail","74663146"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,68,"B","2.1","1a7d7148"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,46,"D","3rd","1a7d7148"
"2015/6","MATH08072","Mathematics for the Natural Sciences 1a",1,13,"G","Fail","e82f5f63"
"2015/6","MATH08072","Mathematics for the Natural Sciences 1a",2,56,"C","2.2","e82f5f63"
"2015/6","MATH08073","Mathematics for the Natural Sciences 1b",1,36,"E","Fail","e82f5f63"
"2016/7","MATH08073","Mathematics for the Natural Sciences 1b",1,78,"A3","1st","e82f5f63"
"2014/5","MATH08057","Introduction to Linear Algebra",1,58,"C","2.2","99d50318"
"2014/5","MATH08058","Calculus and its Applications",1,69,"B","2.1","99d50318"
