"Gender","Fee.Status.Grouping","Fee.Status.Description","Maths.Grade","Further.Maths.Grade","AnonID"
"M","SEU","Scotland fee rate","Higher A2","","1b2a2b85"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","","25e221fc"
"M","SEU","Scotland fee rate","AH A1","","f09b8e11"
"F","SEU","Scotland fee rate","AH A2","","ff7414a"
"M","OVERSEAS","Overseas/International fee rate","A-Level A","","df54f737"
"M","SEU","Scotland fee rate","AH A2","","303579a0"
"F","SEU","Scotland fee rate","AH D7","","30d6bdb"
"M","SEU","EU/EEA fee rate","","","a13a88f8"
"M","SEU","Scotland fee rate","AH B4","","d3877dbe"
"M","SEU","Scotland fee rate","AH A1","","1cd2b54b"
"F","SEU","Scotland fee rate","Higher A2","","4a5028c6"
"M","SEU","EU/EEA fee rate","","","f5dc2ec3"
"F","SEU","Scotland fee rate","Higher A2","","c6611e18"
"M","SEU","Scotland fee rate","AH D7","","a87a5e16"
"M","SEU","Scotland fee rate","Higher A2","","7196c79a"
"M","OVERSEAS","Overseas/International fee rate","A-Level A","FM A-Level B","307c3c57"
"M","SEU","Scotland fee rate","Higher A1","","c6e95b82"
"F","SEU","Scotland fee rate","Higher A2","","4edcbaea"
"M","SEU","Scotland fee rate","AH A2","","b1c80bbc"
"M","SEU","Scotland fee rate","AH B3","","127d9f96"
"M","SEU","Scotland fee rate","AH A1","","267bca7"
"M","SEU","Scotland fee rate","AH B4","","ce185fba"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","122edfa6"
"M","SEU","Scotland fee rate","AH A2","","13926a4a"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","9a0c5c33"
"M","SEU","Scotland fee rate","","","ea4ab5a4"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level B","612f9f0c"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level B","53b62f6d"
"M","SEU","Scotland fee rate","AH C5","","a4297a2b"
"M","SEU","Scotland fee rate","AH A1","","8ffa4f59"
"M","SEU","Scotland fee rate","Higher A2","","20cd8fef"
"F","SEU","Scotland fee rate","AH B4","","ee33900b"
"F","SEU","Scotland fee rate","AH B4","","23a386ca"
"M","SEU","Scotland fee rate","AH D7","","11febad2"
"M","SEU","Scotland fee rate","AH F","","2e2be0c5"
"M","OVERSEAS","Overseas/International fee rate","","","a3ab04cd"
"M","SEU","Scotland fee rate","AH A2","","32e2497d"
"F","OVERSEAS","Overseas/International fee rate","","","a6cf603"
"M","SEU","EU/EEA fee rate","IB HL H6","","a84c77dd"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","82d152f1"
"M","SEU","EU/EEA fee rate","","","86b7fe8d"
"M","SEU","Scotland fee rate","AH C5","","f90a285e"
"M","SEU","Scotland fee rate","AH A2","","65542486"
"F","SEU","Scotland fee rate","AH A1","","253ca842"
"M","SEU","Scotland fee rate","Higher A1","","16d2d8a9"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","a791119e"
"M","SEU","Scotland fee rate","AH A2","","94d17de8"
"M","OVERSEAS","Overseas/International fee rate","IB HL H6","","fa997dd6"
"M","OVERSEAS","Overseas/International fee rate","","","53246f30"
"F","SEU","EU/EEA fee rate","A-Level A*","FM A-Level A*","5cdf5074"
"F","SEU","EU/EEA fee rate","","","6f786568"
"M","SEU","Scotland fee rate","Higher A2","","5b190c5f"
"M","SEU","Scotland fee rate","AH C5","","40cdfc66"
"F","SEU","Scotland fee rate","Higher A2","","a89a154d"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level B","a926a0a1"
"M","SEU","Scotland fee rate","AH A2","","bcf1f8fd"
"M","SEU","EU/EEA fee rate","","","4434777d"
"M","SEU","Scotland fee rate","AH B4","","cb1d1ed7"
"M","SEU","Scotland fee rate","AH A1","","9ac46633"
"M","SEU","Scotland fee rate","AH A1","","f22f1445"
"M","SEU","Scotland fee rate","AH A2","","d16239ff"
"M","SEU","Scotland fee rate","AH A2","","a10d7070"
"M","SEU","Scotland fee rate","AH B4","","e0ce2ba5"
"M","OVERSEAS","Overseas/International fee rate","A-Level A","FM A-Level U","e06fce27"
"M","SEU","Scotland fee rate","AH F","","d43065f5"
"F","SEU","Scotland fee rate","","","50ffae0c"
"M","SEU","Scotland fee rate","AH A2","","6b4c5867"
"F","SEU","Scotland fee rate","AH B3","","98a2c3a0"
"M","SEU","Scotland fee rate","AH A2","","b3932d9"
"F","RUK","England/Wales/N Ireland fee rate","AS-Level B","","944d15e9"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","937b7255"
"M","SEU","Scotland fee rate","Higher A2","","1e948aad"
"M","SEU","Scotland fee rate","AH A2","","79d787af"
"M","SEU","Scotland fee rate","AH A2","","622ea928"
"M","SEU","Scotland fee rate","AH A2","","19f5d387"
"M","SEU","Scotland fee rate","AH C6","","58084ab7"
"M","SEU","Scotland fee rate","AH A1","","122c6272"
"M","SEU","EU/EEA fee rate","","","4784d417"
"F","SEU","Scotland fee rate","Higher A2","","2882c477"
"M","SEU","Scotland fee rate","AH B3","","90a37f9"
"M","OVERSEAS","Overseas/International fee rate","","","ba0f53d"
"F","SEU","EU/EEA fee rate","","","cdad70c4"
"M","SEU","Scotland fee rate","AH A1","","920d406d"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","dd9ef3ed"
"F","OVERSEAS","Overseas/International fee rate","","","dea3baf8"
"M","SEU","Scotland fee rate","AH A2","","8c14cb39"
"F","OVERSEAS","Overseas/International fee rate","","","4b9b39c9"
"F","OVERSEAS","Overseas/International fee rate","","","5fe7b684"
"F","SEU","EU/EEA fee rate","","","7ce140ec"
"F","OVERSEAS","Overseas/International fee rate","","","78ae4c88"
"M","SEU","EU/EEA fee rate","","","9b5af47e"
"F","SEU","EU/EEA fee rate","","","2a193d49"
"M","OVERSEAS","Overseas/International fee rate","","","bd145bdb"
"M","OVERSEAS","Overseas/International fee rate","","","ed66f42e"
"M","SEU","EU/EEA fee rate","","","a298c57b"
"M","SEU","Scotland fee rate","AH A2","","145bec8f"
"M","SEU","EU/EEA fee rate","","","194446c9"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","","7cad890f"
"M","OVERSEAS","Overseas/International fee rate","","","1d37166d"
"F","SEU","EU/EEA fee rate","","","fdb53c5c"
"M","SEU","EU/EEA fee rate","","","edaf1f6d"
"M","OVERSEAS","Overseas/International fee rate","IB HL H6","","347d4404"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","3e5c62d0"
"F","SEU","Scotland fee rate","","","6069478d"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","","447f8f5e"
"M","OVERSEAS","Overseas/International fee rate","IB HL H6","","10f4abb0"
"F","SEU","EU/EEA fee rate","","","2444a45"
"M","OVERSEAS","Overseas/International fee rate","IB HL H7","","c184b4d1"
"M","SEU","EU/EEA fee rate","","","c6f6f1a0"
"F","OVERSEAS","Overseas/International fee rate","A-Level A","","2fab2a18"
"M","OVERSEAS","Overseas/International fee rate","","","faf86a8b"
"M","SEU","EU/EEA fee rate","","","e0936e8"
"F","RUK","England/Wales/N Ireland fee rate","","","7021f5cf"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level B","e2096f0"
"F","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level B","44a55bb7"
"M","SEU","Scotland fee rate","AH F","","844d10ee"
"M","RUK","England/Wales/N Ireland fee rate","","","9a7d3ba2"
"M","SEU","Scotland fee rate","Higher A1","","695b005"
"M","SEU","Scotland fee rate","AH B4","","b20c60a2"
"M","SEU","Scotland fee rate","Higher A2","","815b6e29"
"M","SEU","EU/EEA fee rate","IB HL H6","","c9f2aff2"
"M","SEU","Scotland fee rate","AH A2","","4cd00ff2"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","","f1b2e9fe"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","8410db1c"
"M","OVERSEAS","Overseas/International fee rate","","","a5982892"
"F","SEU","EU/EEA fee rate","","","1c3f1945"
"F","OVERSEAS","Overseas/International fee rate","","","8bafc695"
"M","OVERSEAS","Overseas/International fee rate","","","8a3ad361"
"M","OVERSEAS","Overseas/International fee rate","IB SL S7","","570661ee"
"M","OVERSEAS","Overseas/International fee rate","","","bb09e65c"
"M","OVERSEAS","Overseas/International fee rate","","","6b2deca4"
"M","SEU","EU/EEA fee rate","","","f3022efd"
"M","OVERSEAS","Overseas/International fee rate","","","5f724776"
"M","SEU","EU/EEA fee rate","","","f86d1877"
"F","SEU","EU/EEA fee rate","","","2280942e"
"M","OVERSEAS","Overseas/International fee rate","","","42a6bea0"
"F","SEU","Scotland fee rate","","","c5f747eb"
"M","OVERSEAS","Overseas/International fee rate","","","db50a0ee"
"M","SEU","EU/EEA fee rate","","","29028ec5"
"M","SEU","Scotland fee rate","Higher A2","","18873c87"
"F","SEU","EU/EEA fee rate","","","99ea90e3"
"M","SEU","EU/EEA fee rate","","","ae9f10d9"
"F","SEU","Scotland fee rate","AH A2","","eb134768"
"M","SEU","EU/EEA fee rate","IB HL H7","","2d09a06c"
"M","OVERSEAS","Overseas/International fee rate","IB HL H6","","3db8924"
"M","SEU","EU/EEA fee rate","","","b2e03e1e"
"M","SEU","EU/EEA fee rate","","","352ee032"
"M","SEU","EU/EEA fee rate","","","f6f97c5b"
"M","OVERSEAS","Overseas/International fee rate","","","b6af327a"
"M","SEU","Scotland fee rate","Higher A2","","58214931"
"M","OVERSEAS","Overseas/International fee rate","","","d02a6abc"
"M","SEU","EU/EEA fee rate","","","706ed0d4"
"M","SEU","EU/EEA fee rate","","","f193a2c8"
"M","OVERSEAS","Overseas/International fee rate","","","2f1a1cc8"
"F","OVERSEAS","Overseas/International fee rate","","","6c225bcc"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level B","8aba7dd5"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","","e6353dfa"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","","39003616"
"M","SEU","EU/EEA fee rate","IB HL H6","","609c5390"
"M","SEU","Scotland fee rate","AH A2","","43fb9154"
"F","OVERSEAS","Overseas/International fee rate","","","220c8ce3"
"M","OVERSEAS","Overseas/International fee rate","","","aa2e0f76"
"F","OVERSEAS","Overseas/International fee rate","A-Level A","","bba139b3"
"M","SEU","EU/EEA fee rate","IB HL H6","","c1c6f6f0"
"F","SEU","EU/EEA fee rate","AH F","","52192544"
"M","RUK","England/Wales/N Ireland fee rate","","","3358bf8c"
"M","OVERSEAS","Overseas/International fee rate","A-Level A","FM A-Level B","e74676f"
"F","OVERSEAS","Overseas/International fee rate","A-Level A","","18b3a898"
"F","OVERSEAS","Overseas/International fee rate","","","73f3638"
"F","OVERSEAS","Overseas/International fee rate","","","530295a9"
"F","OVERSEAS","Overseas/International fee rate","","","ee9d2f08"
"F","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level A","cd81dca7"
"M","OVERSEAS","Overseas/International fee rate","","","1526d961"
"F","OVERSEAS","Overseas/International fee rate","","","6d828ca"
"M","OVERSEAS","Overseas/International fee rate","","","5bd195c1"
"M","OVERSEAS","Overseas/International fee rate","","","2e2cf4ad"
"F","OVERSEAS","Overseas/International fee rate","","","fbd2e7c5"
"M","OVERSEAS","Overseas/International fee rate","","","f04f74fd"
"F","OVERSEAS","Overseas/International fee rate","","","9962534f"
"M","OVERSEAS","Overseas/International fee rate","IB HL H5","","d001d2b7"
"M","OVERSEAS","Overseas/International fee rate","IB HL H6","","4ddda966"
"M","HOME","Incoming exchange","","","2ed33625"
"M","HOME","Incoming exchange","","","d2e7d990"
"F","HOME","Incoming exchange","","","c73081cc"
"F","OVERSEAS","Overseas/International fee rate","","","3a9990a3"
"M","HOME","Incoming exchange","","","67e982e6"
"F","OVERSEAS","Overseas/International fee rate","","","84abbd6f"
"F","HOME","Incoming exchange","","","c8d1bb4f"
"M","OVERSEAS","Overseas/International fee rate","","","c673f6a8"
"F","OVERSEAS","Overseas/International fee rate","Step U","","5ce194c8"
"F","OVERSEAS","Overseas/International fee rate","","","b5340aea"
"M","HOME","Incoming exchange","","","df86cea9"
"M","OVERSEAS","Overseas/International fee rate","","","1dd325c9"
"M","OVERSEAS","Overseas/International fee rate","","","19e6c985"
"M","OVERSEAS","Overseas/International fee rate","","","403c10eb"
"M","HOME","Incoming exchange","","","1883e7e6"
"M","OVERSEAS","Overseas/International fee rate","","","1590d828"
"F","OVERSEAS","Overseas/International fee rate","","","5565edae"
"M","OVERSEAS","Overseas/International fee rate","","","c1c87b6b"
"F","OVERSEAS","Overseas/International fee rate","","","53d1fd1b"
"F","OVERSEAS","Overseas/International fee rate","A-Level A","FM A-Level B","b9659303"
"M","OVERSEAS","Overseas/International fee rate","","","f399d90"
"M","OVERSEAS","Overseas/International fee rate","","","db045728"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level B","7ddfc3c8"
"F","OVERSEAS","Overseas/International fee rate","A-Level A","","2aa5c964"
"M","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level B","a918f06"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","FM A-Level A","fa067f19"
"F","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level C","ea1c5c28"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","","84071c26"
"F","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level B","3a964a4d"
"M","OVERSEAS","Overseas/International fee rate","A-Level A","FM A-Level C","4e8c74b"
